,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
34,"Congo, Democratic Republic of the",44.4,Authoritarian,162,1.75,56.8,53.9,67.2,16360,44.4,53,2.6,5.24,2.222,Africa,Catholic,NA,1.2,1.4,0.239,16.6,100.7,67.8,35.2,0.814,137,57,55.33,NA,NA,NA,No local elections,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Congo, Democratic Republic of the"
35,"Congo, Republic of the",47.3,Authoritarian,146,2.89,56.25,53.62,83.8,274400,45.6,51.7,2.8,5.68,0,Africa,Catholic,1.8,1.7,1.1,0.489,19.5,101.7,3.8,62.1,0.744,121,58,54.91,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Mid,Low,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,19275,4.3,42.3,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Congo, Republic of the"
36,Costa Rica,48.9,Full Democ,24,8.03,80.46,75.1,94.9,0,24.6,69.1,6.4,1.93,1.389,Latin America/Caribbean,Catholic,5,5.9,0,0.725,28.2,104.8,4.6,64.4,0.501,51,60,77.72,42.4,Spain,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,10,Yes,Yes,6 or more members,80,55.31914905,4-5 parties,4-5 parties,2,Not member,7,12,0.2368,Low,Low,59.3,51,50,82.4,87,70,59,67.8,50,82.5,65.9,MidHi,50.9,0.4271,High,High,High,Mid,High,11241,2,High,46.5,49.8,High GDP,1821,No,costa rica,Not member,NA,10,Yes,NA,Presidential democ,1,13.10000038,540,32.3,23.9,134,2,NA,54.01,81.0032196,35.1,36.8,38.6,38.6,1949,After 1944,1,100,Costa Rica
37,Cote d'Ivoire,48.4,Authoritarian,126,3.53,57.81,55.79,48.7,58950,39.8,57.2,3,3.92,0.833,Africa,Other Christian,4.6,1,1.5,0.397,19.5,101,21.6,50.6,0.765,130,61,56.78,63.3,France,NA,NA,40.8,Approx 40%,No,NA,Yes,No,single member,0,25.53191523,NA,NA,NA,Not member,4.5,NA,0.8204,High,High,43.7,20,50,78.3,87.1,35,56.1,76,30,64.3,54.1,MidLow,34,0.0707,Low,Low,Low,Low,Low,1651,1,NA,45.2,44.6,Low GDP,1960,No,cote d'ivoire,Not member,NA,NA,No,NA,Presidential democ,0,13,1550,3.2,NA,9,0.8,NA,NA,45.65369415,8.5,8.9,NA,10.4,1952,After 1944,0,100,Cote d'Ivoire
38,Croatia,29,Part Democ,50,6.93,79.6,72.17,98.1,23960,15.1,68.1,16.9,1.43,0,Europe,Catholic,3.9,6.6,1.9,0.767,41.6,105.8,4.4,57.7,0.345,30,62,75.79,55,Soviet Union,44.1754652,NA,63,Approx 60%,Yes,9,Yes,Yes,NA,0,51.06382973,NA,NA,NA,Not member,6,10,0.368999988,Low,Medium,61.5,44,60,70.3,47.1,65,40.8,75.8,40,87.8,59.2,MidLow,84.6,0.5025,High,High,High,High,High,19084,3,Medium,29,29,High GDP,1991,No,croatia,Not member,Moderate post-mat,9,Yes,Moderate,NA,1,NA,632,50.5,11.1,361,2.3,20-50%,70.84,71.48335266,21.7,20.9,23.8,23.8,1945,After 1944,1,100,Croatia
39,Cuba,NA,Authoritarian,127,3.52,80.08,75.46,99.8,48340,17.3,71.1,11.7,1.44,7.778,Latin America/Caribbean,Catholic,13.6,9.9,NA,NA,38.3,106.8,11.2,75.2,0.473,47,63,77.7,34.4,Spain,NA,Legislature is elected but executive is appointed,87.5,Approx 90%,No,0,No,No,single member,39,40.42553214,NA,NA,NA,Not member,1,1,0.590799987,High,Medium,10,43,10,45.9,NA,NA,20,66.7,10,61.7,26.7,Low,108.2,NA,NA,NA,NA,NA,NA,9500,2,NA,NA,NA,NA,1902,No,cuba,Not member,NA,-7,No,NA,Dictatorship,NA,NA,2317,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,1934,1944 or before,0,0,Cuba
40,Cyprus,29,Part Democ,42,7.4,80.74,75.04,97.6,0,16.2,73.4,10.4,1.45,0.833,Asia,Orthodox Christian,7.1,3,1.8,0.81,36.5,106.8,0.9,70.3,0.284,15,64,77.82,61.1,UK,NA,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,26,70.21276596,4-5 parties,4-5 parties,2,EU Member state,7,12,0.093900003,Low,Low,80.3,64,70,72.7,44.8,70,61.5,82.9,80,82.5,70.9,High,22.7,1.321,High,High,High,High,High,29853,3,Medium,NA,NA,High GDP,1960,No,cyprus,Not member,NA,10,Yes,NA,Presidential democ,1,53.70000076,179,38.8,NA,323,1.1,NA,77.83,77.65115356,16.1,14.3,10.7,10.7,1960,After 1944,1,100,Cyprus
41,Czech Republic,25.8,Part Democ,25,7.94,80.66,73.93,NA,10970,13.5,70.2,16.3,1.26,0,Europe,Other,4.6,5.8,1.3,0.841,39.6,105.7,10.4,73.5,0.33,27,65,77.19,40,Soviet Union,35.17286778,NA,63,Approx 60%,Yes,8,Yes,Yes,6 or more members,7,63.12056709,4-5 parties,4-5 parties,2,EU Member state,7,12,0.3222,Low,Medium,65.5,52,80,80.1,45.6,70,76.4,75.6,65,87.5,69.8,High,257.7,0.6808,High,High,High,High,High,24712,3,Medium,25.4,25.4,High GDP,1993,No,czech republic,OECD Member state,Moderate post-mat,8,Yes,Low,Parliamentary democ,1,36.29999924,500,57.8,NA,136,0.7,<20%,65.12,82.7829895,17,15.5,22,22,1920,1944 or before,1,100,Czech Republic
42,Denmark,24.7,Full Democ,5,9.11,81.14,76.25,99,262100,17.6,65.3,17.1,1.74,0.833,Europe,Other Christian,7.9,8.2,1.4,0.866,40.8,105.8,5.5,86.9,0.209,2,66,78.63,46.6,none,63.13701711,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,54,93.6170215,6-11 parties,6-11 parties,3,EU Member state,7,12,0.081900001,Low,Low,97.9,93,90,35.9,22,90,93.7,79.3,90,87.5,77.9,High,201.2,3.2179,High,High,High,High,High,36607,3,High,24.7,24.7,High GDP,1849,No,denmark,OECD Member state,High post-mat,10,Yes,High,Parliamentary democ,1,68.19999695,118,83.3,NA,162,0.3,<20%,83.2,81.75848389,36.9,38,39.1,39.1,1915,1944 or before,1,100,Denmark
43,Djibouti,39.9,Authoritarian,145,2.99,63.66,58.69,67.9,0,35,61.7,3.3,2.71,1.667,Africa,Muslim,8.7,5.5,3.7,0.402,21.5,102.2,0.9,76.2,NA,NA,68,61.14,NA,France,NA,NA,40.8,Approx 40%,No,3,No,No,6 or more members,1,25.76832163,NA,NA,1,Not member,3,4,0.796199977,High,High,35.7,30,60,78.2,58.9,60,55.3,70.5,30,31.9,51,Low,1.8,0.0861,Low,Middle,Low,Low,Low,2140,1,NA,NA,NA,Low GDP,1977,Yes,djibouti,Not member,NA,2,No,NA,Dictatorship,0,NA,1253,2.3,NA,36,3.5,NA,NA,27.40386009,NA,NA,NA,13.8,1946,After 1944,0,0,Djibouti
44,Dominican Republic,48.4,Part Democ,59,6.67,79.55,75.16,87,0,29.5,64,6.5,2.44,0,Latin America/Caribbean,Catholic,2.2,1.9,0.6,0.663,25,104.1,10.2,69.2,0.646,87,70,77.31,41.7,NA,NA,Legislature and executive are locally elected,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Mid,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,21.6,48.5,357,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Dominican Republic
45,Ecuador,54.4,Hybrid,79,5.87,78.82,72.79,91,485700,30.1,63.5,6.4,2.42,0.833,Latin America/Caribbean,Catholic,1,2.3,2.8,0.695,25.4,104.4,13.8,67,0.645,86,72,75.73,23.2,Spain,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,5,No,Yes,>1 to 5 members,0,23.87706907,NA,4-5 parties,2,Not member,5,8,0.654999971,High,High,52.9,20,40,79.3,77.5,25,42.2,63.9,20,71.8,49.3,Low,107.9,0.1897,Low,Middle,Low,Mid,Low,8009,2,Medium,43.7,53.6,Low GDP,1822,No,ecuador,Not member,NA,5,Yes,NA,Dictatorship,0,9.800000191,2057,28.8,38.3,210,5.2,NA,70.28,65.84541321,NA,NA,32.3,32.3,1929,1944 or before,0,0,Ecuador
46,Egypt,32.1,Authoritarian,138,3.16,75.38,70.07,71.4,680500,32.7,62.8,4.5,2.97,8.611,Africa,Muslim,3.8,2.4,2.3,0.62,23.9,104.7,84.5,43.4,0.714,108,73,72.66,80.5,UK,59.22766465,No local elections,10.5,10%,No,0,No,No,single member,48,39.00709237,NA,NA,1,Not member,2.5,3,0.183599994,Low,Low,65,28,50,89.7,73.4,50,55.6,64.2,40,74,59,MidLow,441.6,0.1354,Low,Middle,Low,Mid,Low,5416,2,Low,34.4,34.4,Low GDP,1922,Yes,egypt,Not member,Moderate post-mat,-2,No,Low,Dictatorship,0,29.60000038,2916,16.6,16.7,107,5.4,>50%,NA,27.72143173,NA,NA,NA,2,1956,After 1944,0,0,Egypt
47,El Salvador,46.9,Part Democ,64,6.53,76.87,70.16,81.1,0,30.6,63,6.4,2.08,0,Latin America/Caribbean,Catholic,3.6,3.6,0.5,0.659,23.9,104.5,6.2,64.3,0.653,89,74,73.44,55,Spain,41.97881684,Legislature and executive are locally elected,87.5,Approx 90%,Yes,8,Yes,Yes,>1 to 5 members,16,34.04255387,4-5 parties,4-5 parties,2,Not member,5.5,9,0.197799996,Low,Low,67.4,39,70,85.7,89.2,75,64.5,74.1,50,83.8,69.9,High,41.7,0.2226,High,Middle,Low,Mid,Low,6794,2,Low,53.2,52.4,High GDP,1821,No,el salvador,Not member,NA,8,Yes,NA,Presidential democ,1,7.199999809,829,10.6,30.7,620,17.2,>50%,52.72,53.58396149,10.7,19,26.2,26.2,1939,1944 or before,1,100,El Salvador
48,Equatorial Guinea,NA,Authoritarian,164,1.66,63.36,61.4,87,346000,41.5,54.4,4.1,4.91,0.833,Africa,Catholic,0.6,1.7,NA,0.538,19.3,101.3,0.7,39.7,NA,NA,75,62.37,4.1,Spain,NA,No local elections,40.8,Approx 40%,No,0,No,No,NA,31,14.18439705,NA,NA,1,Not member,1.5,0,0.346700013,Low,Medium,44.8,17,40,75.5,83.9,20,44.8,80.9,20,58.9,48.6,Low,22.3,0.4394,High,High,High,High,High,33873,3,NA,NA,NA,High GDP,1968,No,equatorial guinea,Not member,NA,-5,Yes,NA,Dictatorship,0,NA,1614,1.8,NA,NA,NA,NA,NA,88.09722137,NA,NA,NA,10,1963,After 1944,0,0,Equatorial Guinea
49,Eritrea,NA,Authoritarian,155,2.44,64.69,60.4,58.6,0,42.1,54.3,3.6,4.48,9.167,Africa,Muslim,2,1.5,NA,NA,19.1,102.4,5.2,21.6,NA,NA,76,62.52,NA,Other,NA,No local elections,40.8,Approx 40%,No,0,No,No,NA,7,36.17021282,NA,NA,NA,Not member,1.5,1,0.652400017,High,High,18,26,20,73,6.9,NA,70.8,59,10,69.1,35.3,Low,3.2,0.015,Low,Low,Low,Low,Low,632,1,NA,NA,NA,Low GDP,1993,Yes,eritrea,Not member,NA,-7,No,NA,Dictatorship,0,7.199999809,3900,4.1,NA,1,0.5,NA,NA,NA,NA,NA,NA,22,1955,After 1944,0,0,Eritrea
50,Estonia,36,Part Democ,34,7.74,78.97,68.02,99.8,7600,15.1,67.2,17.7,1.44,0,Europe,Orthodox Christian,5,4.1,2.2,0.812,39.6,105.6,1.3,69.5,0.409,39,77,73.33,7.7,Soviet Union,39.18230758,NA,63,Approx 60%,Yes,9,Yes,Yes,6 or more members,9,65.01181965,6-11 parties,6-11 parties,3,EU Member state,7,12,0.506200016,High,Medium,83.1,66,80,80.2,62.2,90,47,71.1,80,87.5,74.7,High,27.7,0.4792,High,High,High,High,High,20662,3,Medium,37.2,35.8,High GDP,1991,No,estonia,Not member,Moderate post-mat,9,Yes,Moderate,Parliamentary democ,1,26.39999962,127,66.2,NA,297,1.7,<20%,53.44,56.01451111,18.8,20.8,20.8,20.8,1918,1944 or before,1,100,Estonia
51,Ethiopia,29.8,Authoritarian,124,3.72,58.81,53.64,42.7,0,46.3,51,2.7,6.02,2.222,Africa,Muslim,5.5,2.2,1.4,0.328,18,101.6,85,16.7,NA,NA,78,56.19,39.3,none,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,3,No,No,single member,5,25.53191523,NA,NA,3,Not member,3,4,0.723500013,High,High,66.3,26,20,77.7,82.9,25,61.5,60.4,30,61.9,51.2,Low,70.1,0.009,Low,Low,Low,Low,Low,868,1,NA,30,30,Low GDP,NA,Yes,ethiopia,Not member,NA,1,No,NA,Dictatorship,0,4.099999905,3500,0.4,44.2,5,1.5,NA,NA,77.35290527,NA,NA,NA,27.8,1955,After 1944,0,0,Ethiopia
52,Fiji,42.8,Hybrid,91,5.61,74.03,68.73,93.7,0,28.9,65.9,5.2,2.61,1.667,Australia/New Zealand/Oceania,Other Christian,6.2,2.8,1.3,0.669,25,106.3,0.9,51.9,NA,NA,81,71.31,NA,UK,NA,NA,58.3,Approx 60%,No,0,No,No,>1 to 5 members,0,47.9905437,NA,NA,2,Not member,4.5,4,0.547900021,High,Medium,63.5,40,60,75.7,80.6,25,84,73.6,30,71,60.3,MidHi,3.7,0.2281,High,Middle,High,Mid,High,4382,2,Low,NA,NA,High GDP,1970,No,fiji,Not member,NA,-4,No,NA,Dictatorship,0,NA,758,12.2,NA,143,3.4,NA,NA,59.85870361,NA,NA,NA,NA,1963,After 1944,0,0,Fiji
53,Finland,26.9,Full Democ,8,9.03,82.89,75.79,100,8718,16,66.1,17.8,1.73,0,Europe,Other Christian,5.9,6.1,1.3,0.871,42,104.6,5.3,85.1,0.248,8,82,79.27,45.4,none,46.87592446,Legislature is elected but executive is appointed,100,100%,Yes,10,Yes,Yes,6 or more members,56,94.08983429,6-11 parties,6-11 parties,3,EU Member state,7,12,0.131500006,Low,Low,95,90,80,65.4,32.9,75,43.8,78.9,90,87.5,73.8,High,188.2,2.5295,High,High,High,High,High,35427,3,High,26.9,26.9,High GDP,1917,No,finland,OECD Member state,High post-mat,10,Yes,Moderate,Parliamentary democ,1,59.70000076,127,82,NA,156,0.3,<20%,68.18,74.82191467,37.5,41.5,42.5,42.5,1906,1944 or before,1,100,Finland
54,France,32.7,Full Democ,23,8.04,84.54,78.02,99,70820,18.5,64.7,16.8,1.96,1.667,Europe,Catholic,5.6,8.7,2.3,0.872,40.1,104.3,62.6,85.3,0.26,11,83,81.19,83.5,France,55.11650891,Legislature and executive are locally elected,100,100%,Yes,9,Yes,Yes,single member,31,86.05200844,1-3 parties,1-3 parties,1,EU Member state,7,12,0.103200004,Low,Low,86.3,69,70,51.9,17.9,50,54.7,79.7,80,82.5,64.2,MidHi,2100,2.4061,High,High,High,High,High,34045,3,NA,32.7,32.7,High GDP,486,No,france,OECD Member state,High post-mat,9,No,High,NA,1,6.099999905,396,67.9,NA,255,0.6,<20%,54.52,64.08487701,12.2,18.2,26.9,26.9,1944,1944 or before,1,100,France
55,Gabon,41.5,Authoritarian,121,3.76,53.22,51.78,63.2,241700,42.2,54,3.9,4.59,1.389,Africa,Other Christian,3.8,3,NA,0.648,21.6,102.1,1.5,86,0.678,99,86,52.49,25.8,France,NA,Legislature and executive are locally elected,40.8,Approx 40%,No,4,No,No,single member,9,35.93380643,NA,NA,1,Not member,3.5,4,0.768999994,High,High,58.8,31,40,61.5,86.4,45,57.4,71.4,40,62.1,55.4,MidLow,21,0.378,High,High,High,High,High,14527,3,NA,NA,NA,High GDP,1960,No,gabon,Not member,NA,3,No,NA,Dictatorship,0,2,500,6.2,NA,8,0.1,NA,NA,67.02394104,NA,NA,NA,15.8,1956,After 1944,0,0,Gabon
56,"Gambia, The",47.3,Authoritarian,141,3.05,65.86,61.23,40.1,0,40,56.9,3.1,4.23,0,Africa,Muslim,2,2.6,NA,0.39,18.8,101.8,1.8,58.2,0.742,120,87,63.51,NA,NA,NA,No local elections,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,6.9,61.3,40,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Gambia, The"
57,Georgia,40.8,Hybrid,81,5.82,80.82,73.8,100,994.9,15.6,68.3,16,1.45,1.667,Asia,Orthodox Christian,2.9,1.5,8.5,0.698,37.6,110.7,4.2,52.8,0.597,71,89,77.12,NA,Soviet Union,38.62790273,NA,63,Approx 60%,Yes,7,No,Yes,6 or more members,0,28.36879478,NA,1-3 parties,1,Not member,4.5,6,0.492300004,High,Medium,87.9,39,60,89.1,65.3,70,93.7,70.2,40,89.1,70.4,High,21.4,0.0656,Low,Low,Low,Mid,Low,4896,2,Low,36.9,40.4,Low GDP,1991,No,georgia,Not member,Low post-mat,6,No,Moderate,Dictatorship,0,NA,4352,23.8,54.5,170,5.7,20-50%,NA,58.40738297,NA,NA,12,12,1918,1944 or before,0,0,Georgia
58,Germany,28.3,Full Democ,13,8.64,82.44,77.82,99,156800,13.3,66.1,20.6,1.41,2.222,Europe,Catholic,4.4,8,1.3,0.885,44.3,105.4,82.1,73.9,0.24,7,90,80.07,78.8,none,52.72892711,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,NA,10,88.17966881,6-11 parties,6-11 parties,3,EU Member state,7,12,0.168200001,Low,Low,89.6,79,60,58.3,41.4,85,39.9,79.9,90,87.5,71.1,High,2900,2.4051,High,High,High,High,High,35613,3,High,28.3,28.3,High GDP,1871,No,germany,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,29.60000038,151,75.5,NA,135,0.3,<20%,71.99,72.74932098,32.8,32.8,32.9,32.9,1918,1944 or before,1,100,Germany
59,Ghana,42.8,Part Democ,68,6.33,62.25,59.78,57.9,7081,36.5,60,3.6,3.48,0,Africa,Other Christian,5.4,4.3,0.7,0.467,20.6,104.5,24.3,51.5,0.729,114,91,61,59.9,UK,NA,NA,40.8,Approx 40%,Yes,8,Yes,Yes,single member,4,46.80851063,1-3 parties,1-3 parties,1,Not member,6,11,0.673300028,High,High,56.8,39,60,83.5,58.9,65,57.4,65.9,50,65.3,60.2,MidHi,33.9,0.0304,Low,Low,Low,Low,Low,1452,1,NA,30,40.8,Low GDP,1957,No,ghana,Not member,NA,8,No,NA,Presidential democ,0,25.89999962,3223,4.3,28.5,5,0.8,NA,79.98,60.15103531,10.9,8.3,10.3,10.3,1954,After 1944,1,100,Ghana
60,Greece,34.3,Part Democ,41,7.45,82.65,77.36,96,6779,14.2,66.2,19.6,1.38,2.5,Europe,Orthodox Christian,4,5.8,3.6,0.855,41.6,106.6,11.2,61.4,0.317,23,93,79.92,144,Ottoman,NA,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,>1 to 5 members,25,65.24822746,1-3 parties,1-3 parties,1,EU Member state,6.5,11,0.157600001,Low,Low,77.4,47,60,65.9,41.9,60,55.1,77.6,60,82.5,62.7,MidHi,330,1.2494,High,High,High,High,High,29361,3,Medium,35.4,34.3,High GDP,1829,No,greece,OECD Member state,NA,10,Yes,NA,Parliamentary democ,1,15.39999962,379,43.1,NA,239,0.8,20-50%,74.14,82.95891571,14,14.7,21,21,1927,1944 or before,1,100,Greece
61,Guatemala,53.7,Hybrid,82,5.81,72.83,69.03,69.1,13530,38.1,58,3.9,3.27,0,Latin America/Caribbean,Catholic,3.2,2.1,0.4,0.56,18.8,103.8,14.4,49.5,0.713,107,98,70.88,29.6,Spain,NA,No local elections,87.5,Approx 90%,Yes,8,Yes,Yes,>1 to 5 members,4,32.1512999,1-3 parties,1-3 parties,1,Not member,4,7,0.512199998,High,Medium,52.5,31,50,79.3,93.9,60,54.3,70.2,35,84,61,MidHi,65.1,0.1941,High,Middle,Low,Mid,Low,4760,2,NA,48.3,55.1,High GDP,1821,No,guatemala,Not member,NA,8,Yes,NA,Presidential democ,1,4.400000095,2350,14.3,51,326,11.4,NA,NA,31.76327515,8.2,12,13.3,13.3,1946,After 1944,0,100,Guatemala
62,Guinea,43.3,Authoritarian,143,3.01,59.64,56.63,29.5,0,42.5,54,3.5,5.1,0,Africa,Muslim,1.7,0.6,NA,0.34,18.5,104.4,10.3,35.4,NA,NA,101,58.11,NA,Portugal,NA,NA,40.8,Approx 40%,No,5,No,No,NA,5,28.13238838,NA,NA,2,Not member,2.5,2,0.738900006,High,High,43.7,16,40,69.9,93.1,40,78,57.4,20,60,51.8,MidLow,11.8,0.0415,Low,Low,Low,Low,Low,1204,1,NA,40.3,38.6,Low GDP,1973,Yes,guinea,Not member,NA,5,No,NA,Dictatorship,0,2.5,1025,0.9,NA,7,1.9,NA,NA,67.68532562,NA,NA,NA,NA,1958,After 1944,0,0,Guinea
63,Guinea-Bissau,35.5,Authoritarian,159,1.93,50.67,46.8,42.4,0,40.4,56.4,3.2,4.51,0,Africa,Other,5.2,1.6,NA,0.289,18.7,100.8,1.6,30,NA,NA,100,48.7,NA,Spain,NA,NA,40.8,Approx 40%,Yes,7,Yes,Yes,>1 to 5 members,0,14.65720984,4-5 parties,4-5 parties,2,Not member,4,6,0.808200002,High,High,23.4,19,30,88.6,47.3,30,52.5,67,20,58.2,43.6,Low,0.8,0.0141,Low,Low,Low,Low,Low,538,1,NA,47,47,Low GDP,1958,No,guinea-bissau,Not member,NA,6,Yes,NA,Presidential democ,0,NA,1137,2.4,65.7,19,7,NA,NA,44.51617432,14,10,14,14,1977,After 1944,0,100,Guinea-Bissau
64,Guyana,43.2,Hybrid,78,5.91,71.07,63.27,NA,0,31.9,63.3,4.8,2.34,0,Latin America/Caribbean,Other,6.1,7.2,NA,0.611,27.4,103.4,0.8,28.6,0.667,92,102,67.08,57,UK,NA,Legislature and executive are locally elected,87.5,Approx 90%,No,6,Yes,No,NA,8,39.00709237,NA,NA,NA,Not member,6,9,0.619499981,High,High,63.4,26,40,55.9,26.2,30,65.2,71,35,71.3,48.4,Low,1.9,0.0937,Low,Middle,Low,Low,Low,2542,1,NA,43.2,NA,Low GDP,1966,No,guyana,Not member,NA,6,Yes,NA,Presidential democ,0,25.20000076,NA,26.9,NA,365,24.1,NA,66.44,71.92927551,30.8,30,NA,31.3,1953,After 1944,0,100,Guyana
65,Haiti,59.5,Authoritarian,118,3.82,63.53,60.84,52.9,0,35.9,60.1,3.9,3.07,0,Latin America/Caribbean,Catholic,NA,1.2,0,0.404,21.6,104.1,10.2,52.1,0.739,119,103,62.17,NA,France,NA,NA,87.5,Approx 90%,No,NA,Yes,No,single member,0,9.692672748,1-3 parties,NA,1,Not member,1.5,5,0.094999999,Low,Low,36,14,30,81.5,91.3,30,69.2,67.1,10,79.1,50.8,Low,11.5,0.0415,Low,Low,Low,Low,Low,1177,1,NA,NA,59.2,Low GDP,1804,No,haiti,Not member,NA,NA,No,NA,NA,0,NA,4900,10.1,NA,143,19.6,NA,NA,42.10826111,3.6,4.1,NA,4.2,1950,After 1944,0,100,Haiti
66,Honduras,55.3,Hybrid,80,5.84,72.37,68.93,80,0,36.7,59.5,3.8,3.09,0,Latin America/Caribbean,Other Christian,NA,4.1,0.8,0.604,20.9,104.2,7.6,51.6,0.68,101,105,70.61,26.1,Spain,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,7,Yes,Yes,6 or more members,18,29.31442035,1-3 parties,1-3 parties,1,Not member,5,8,0.186700001,Low,Low,63,26,60,84.7,73.5,60,31.6,70.2,30,83.7,58.3,MidLow,28.7,0.0966,Low,Middle,Low,Low,Low,3965,2,Low,55,53.8,Low GDP,1821,No,honduras,Not member,NA,7,Yes,NA,Presidential democ,0,4.5,1177,13.1,50.7,392,21.5,NA,50.69,51.32912445,5.5,23.4,19.5,19.5,1955,After 1944,0,100,Honduras
67,Hong Kong,43.4,Part Democ,66,6.46,84.97,79.32,NA,0,11.6,74.8,13.5,1.07,0,Asia,Other,3.3,NA,NA,0.862,41.9,108.1,7.1,100,NA,NA,48,82.04,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,67,NA,51,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Hong Kong
68,Hungary,30,Part Democ,51,6.9,78.76,71.04,99.4,21430,14.9,68.2,16.9,1.4,0,Europe,Catholic,5.4,5.2,1.2,0.805,39.8,105.9,10,68.1,0.382,34,106,74.79,79.6,Soviet Union,45.54324895,Legislature and executive are locally elected,63,Approx 60%,Yes,10,Yes,Yes,NA,10,65.01181965,6-11 parties,6-11 parties,3,EU Member state,7,12,0.152199998,Low,Low,76.8,51,70,68.6,25.9,75,67.6,74.1,65,87.5,66.1,MidHi,194,0.6481,High,High,High,High,High,19330,3,Medium,24.4,26.9,High GDP,1991,No,hungary,OECD Member state,Low post-mat,10,No,Low,Parliamentary democ,1,52.5,719,58.5,NA,262,1.7,20-50%,41.08,58.38253784,9.1,11.1,8.8,8.8,1953,After 1944,1,100,Hungary
